Offset-Description       Player:                       Enemy 1:                      Enemy: 2
0198 - 4 Bytes           E56C5F8 : 4294967295          FDD42A8 : 0                   FD49B88 : 0                   
019C - 4 Bytes           E56C5FC : 8126464             FDD42AC : 0                   FD49B8C : 0                   
01A0 - 4 Bytes           E56C600 : 0                   FDD42B0 : 0                   FD49B90 : 0                   
01A4 - 4 Bytes           E56C604 : 0                   FDD42B4 : 0                   FD49B94 : 0                   
01A8 - 4 Bytes           E56C608 : 1120403456          FDD42B8 : 0                   FD49B98 : 0                   
01AC - 4 Bytes           E56C60C : 0                   FDD42BC : 0                   FD49B9C : 0                   
01B0 - Pointer           E56C610 : P->13C3BA90         FDD42C0 : P->13A134E0         FD49BA0 : P->13A134E0         
01B8 - 4 Bytes           E56C618 : 4294967295          FDD42C8 : 1                   FD49BA8 : 1                   
01BC - 4 Bytes (Hex)     E56C61C : 007E0000            FDD42CC : 00CE0000            FD49BAC : 00760000            
01C0 - Pointer           E56C620 : P->447A0000447A0000 FDD42D0 : P->135E03E0         FD49BB0 : P->135E03E0         
01C8 - 4 Bytes           E56C628 : 0                   FDD42D8 : 1                   FD49BB8 : 1                   
01CC - 4 Bytes (Hex)     E56C62C : 00000000            FDD42DC : 00CF0000            FD49BBC : 00770000            
01D0 - Pointer           E56C630 : P->13A76398         FDD42E0 : P->0FDD42F0         FD49BC0 : P->0FD49BD0         
01D8 - 4 Bytes           E56C638 : 1                   FDD42E8 : 0                   FD49BC8 : 0                   
01DC - 4 Bytes           E56C63C : 8388608             FDD42EC : 0                   FD49BCC : 0                   
01E0 - Pointer           E56C640 : P->0E56C650         FDD42F0 : P->1343E068         FD49BD0 : P->1343E068         
01E8 - 4 Bytes           E56C648 : 0                   FDD42F8 : 1                   FD49BD8 : 1                   
01EC - 4 Bytes (Hex)     E56C64C : 00000000            FDD42FC : 00D10000            FD49BDC : 00790000            
01F0 - Byte              E56C650 : 240                 FDD4300 : 208                 FD49BE0 : 208                 
01F1 - Byte              E56C651 : 252                 FDD4301 : 107                 FD49BE1 : 107                 
01F2 - Byte              E56C652 : 117                 FDD4302 : 62                  FD49BE2 : 62                  
01F3 - Byte              E56C653 : 19                  FDD4303 : 71                  FD49BE3 : 71                  
01F4 - 4 Bytes           E56C654 : 0                   FDD4304 : 1                   FD49BE4 : 1                   
01F8 - 4 Bytes           E56C658 : 1                   FDD4308 : 1                   FD49BE8 : 1                   
01FC - 4 Bytes           E56C65C : 8519680             FDD430C : 4                   FD49BEC : 4                   
0200 - 4 Bytes           E56C660 : 1198602128          FDD4310 : 0                   FD49BF0 : 0                   
0204 - 4 Bytes           E56C664 : 1                   FDD4314 : 0                   FD49BF4 : 0                   
0208 - 4 Bytes           E56C668 : 1                   FDD4318 : 0                   FD49BF8 : 0                   
020C - 4 Bytes           E56C66C : 4                   FDD431C : 0                   FD49BFC : 0                   
0210 - 4 Bytes           E56C670 : 0                   FDD4320 : 0                   FD49C00 : 0                   
0214 - 4 Bytes           E56C674 : 0                   FDD4324 : 0                   FD49C04 : 0                   
0218 - 4 Bytes           E56C678 : 0                   FDD4328 : 0                   FD49C08 : 0                   
021C - 4 Bytes           E56C67C : 0                   FDD432C : 0                   FD49C0C : 0                   
