Offset-Description       Player:                       Enemy 1:                      Enemy: 2
09D8 - 4 Bytes           E56CE38 : 0                   FDD4AE8 : 0                   FD4A3C8 : 1                   
09DC - 4 Bytes           E56CE3C : 0                   FDD4AEC : 0                   FD4A3CC : 2                   
09E0 - 4 Bytes           E56CE40 : 1                   FDD4AF0 : 0                   FD4A3D0 : 287006288           
09E4 - 4 Bytes           E56CE44 : 1                   FDD4AF4 : 0                   FD4A3D4 : 0                   
09E8 - 4 Bytes (Hex)     E56CE48 : 0E56CF00            FDD4AF8 : 00000000            FD4A3D8 : 111B70C0            
09EC - 4 Bytes (Hex)     E56CE4C : 00000000            FDD4AFC : 00000000            FD4A3DC : 00000000            
09F0 - Pointer           E56CE50 : P->00000000         FDD4B00 : P->FFFFFFFF00000004 FD4A3E0 : P->13668E48         
09F8 - 4 Bytes           E56CE58 : 0                   FDD4B08 : 545259520           FD4A3E8 : 1                   
09FC - 4 Bytes           E56CE5C : 0                   FDD4B0C : 805306368           FD4A3EC : 16384000            
0A00 - 4 Bytes           E56CE60 : 3201092813          FDD4B10 : 1170149528          FD4A3F0 : 1195589168          
0A04 - 4 Bytes           E56CE64 : 0                   FDD4B14 : 1                   FD4A3F4 : 1                   
0A08 - 4 Bytes           E56CE68 : 3201092813          FDD4B18 : 0                   FD4A3F8 : 1                   
0A0C - 4 Bytes           E56CE6C : 0                   FDD4B1C : 1                   FD4A3FC : 2                   
0A10 - 4 Bytes           E56CE70 : 1053609165          FDD4B20 : 0                   FD4A400 : 0                   
0A14 - 4 Bytes           E56CE74 : 1061997773          FDD4B24 : 0                   FD4A404 : 0                   
0A18 - 4 Bytes           E56CE78 : 1053609165          FDD4B28 : 0                   FD4A408 : 0                   
0A1C - 4 Bytes           E56CE7C : 0                   FDD4B2C : 0                   FD4A40C : 0                   
0A20 - 4 Bytes           E56CE80 : 0                   FDD4B30 : 266156352           FD4A410 : 0                   
0A24 - 4 Bytes           E56CE84 : 1053609165          FDD4B34 : 0                   FD4A414 : 0                   
0A28 - 4 Bytes           E56CE88 : 0                   FDD4B38 : 0                   FD4A418 : 0                   
0A2C - 4 Bytes           E56CE8C : 1053609165          FDD4B3C : 0                   FD4A41C : 0                   
0A30 - 4 Bytes           E56CE90 : 4                   FDD4B40 : 4                   FD4A420 : 4                   
0A34 - 4 Bytes           E56CE94 : 0                   FDD4B44 : 4294967295          FD4A424 : 4294967295          
0A38 - Pointer           E56CE98 : P->3000000000800000 FDD4B48 : P->3000000020800000 FD4A428 : P->3000000020800000 
0A40 - 4 Bytes           E56CEA0 : 322252272           FDD4B50 : 1170149528          FD4A430 : 1170149528          
0A44 - 4 Bytes           E56CEA4 : 0                   FDD4B54 : 1                   FD4A434 : 1                   
0A48 - 4 Bytes (Hex)     E56CEA8 : 00000001            FDD4B58 : FFFFFFDE            FD4A438 : FFFFFFAD            
0A4C - 4 Bytes (Hex)     E56CEAC : 00000000            FDD4B5C : 00000000            FD4A43C : 00000000            
0A50 - Pointer           E56CEB0 : P->72000000007      FDD4B60 : P->00000000         FD4A440 : P->00000000         
0A58 - 4 Bytes           E56CEB8 : 0                   FDD4B68 : 0                   FD4A448 : 0                   
0A5C - 4 Bytes           E56CEBC : 0                   FDD4B6C : 0                   FD4A44C : 0                   
0A60 - 4 Bytes           E56CEC0 : 1                   FDD4B70 : 1                   FD4A450 : 1                   
0A64 - 4 Bytes           E56CEC4 : 0                   FDD4B74 : 0                   FD4A454 : 0                   
0A68 - 4 Bytes           E56CEC8 : 0                   FDD4B78 : 0                   FD4A458 : 0                   
0A6C - 4 Bytes           E56CECC : 0                   FDD4B7C : 0                   FD4A45C : 0                   
0A70 - 4 Bytes           E56CED0 : 2                   FDD4B80 : 4                   FD4A460 : 4                   
0A74 - 4 Bytes           E56CED4 : 0                   FDD4B84 : 4294967295          FD4A464 : 4294967295          
0A78 - 4 Bytes           E56CED8 : 8388608             FDD4B88 : 545259520           FD4A468 : 545259520           
0A7C - 4 Bytes           E56CEDC : 805306368           FDD4B8C : 805306368           FD4A46C : 805306368           
0A80 - 4 Bytes           E56CEE0 : 331572376           FDD4B90 : 1170149528          FD4A470 : 1170149528          
0A84 - 4 Bytes           E56CEE4 : 0                   FDD4B94 : 1                   FD4A474 : 1                   
0A88 - 4 Bytes (Hex)     E56CEE8 : 00000001            FDD4B98 : FFFFFFDB            FD4A478 : FFFFFFD3            
0A8C - 4 Bytes (Hex)     E56CEEC : 00000000            FDD4B9C : 00000000            FD4A47C : 00000000            
0A90 - Pointer           E56CEF0 : P->0000001B         FDD4BA0 : P->00000000         FD4A480 : P->00000000         
0A98 - 4 Bytes           E56CEF8 : 8388608             FDD4BA8 : 0                   FD4A488 : 0                   
0A9C - 4 Bytes           E56CEFC : 805306368           FDD4BAC : 0                   FD4A48C : 0                   
0AA0 - 4 Bytes           E56CF00 : 322575968           FDD4BB0 : 1                   FD4A490 : 1                   
0AA4 - 4 Bytes           E56CF04 : 0                   FDD4BB4 : 0                   FD4A494 : 0                   
0AA8 - 4 Bytes           E56CF08 : 1                   FDD4BB8 : 266158864           FD4A498 : 0                   
0AAC - 4 Bytes           E56CF0C : 0                   FDD4BBC : 0                   FD4A49C : 0                   
0AB0 - 4 Bytes           E56CF10 : 3                   FDD4BC0 : 6                   FD4A4A0 : 4                   
0AB4 - 4 Bytes           E56CF14 : 0                   FDD4BC4 : 0                   FD4A4A4 : 0                   
0AB8 - 4 Bytes           E56CF18 : 240569888           FDD4BC8 : 545259520           FD4A4A8 : 545259520           
0ABC - 4 Bytes           E56CF1C : 0                   FDD4BCC : 805306368           FD4A4AC : 805306368           
0AC0 - 4 Bytes           E56CF20 : 244204080           FDD4BD0 : 325147264           FD4A4B0 : 331477776           
0AC4 - 4 Bytes           E56CF24 : 0                   FDD4BD4 : 0                   FD4A4B4 : 0                   
0AC8 - 4 Bytes (Hex)     E56CF28 : 00000000            FDD4BD8 : 00000001            FD4A4B8 : 00000001            
0ACC - 4 Bytes (Hex)     E56CF2C : 00000000            FDD4BDC : 00000000            FD4A4BC : 00000000            
0AD0 - Pointer           E56CF30 : P->0E56CEA0         FDD4BE0 : P->00000000         FD4A4C0 : P->5DE02830         
0AD8 - 4 Bytes           E56CF38 : 240570080           FDD4BE8 : 0                   FD4A4C8 : 266372352           
0ADC - 4 Bytes           E56CF3C : 0                   FDD4BEC : 0                   FD4A4CC : 0                   
0AE0 - Pointer           E56CF40 : P->0DAC6B40         FDD4BF0 : P->00000000         FD4A4D0 : P->00000001         
0AE8 - Pointer           E56CF48 : P->700000500001EB8  FDD4BF8 : P->00000000         FD4A4D8 : P->3000000000800000 
0AF0 - Pointer           E56CF50 : P->07000005         FDD4C00 : P->101000000000000  FD4A4E0 : P->00000004         
0AF8 - Pointer           E56CF58 : P->10232280         FDD4C08 : P->00000000         FD4A4E8 : P->3000000020800000 
0B00 - 4 Bytes (Hex)     E56CF60 : 00000002            FDD4C10 : 00000100            FD4A4F0 : 13C1F310            
0B04 - 4 Bytes (Hex)     E56CF64 : 00000002            FDD4C14 : 00000000            FD4A4F4 : 00000000            
0B08 - 4 Bytes           E56CF68 : 0                   FDD4C18 : 4294967295          FD4A4F8 : 1                   
0B0C - 4 Bytes           E56CF6C : 0                   FDD4C1C : 4294967295          FD4A4FC : 0                   
0B10 - 4 Bytes           E56CF70 : 0                   FDD4C20 : 8                   FD4A500 : 1574971712          
0B14 - 4 Bytes           E56CF74 : 0                   FDD4C24 : 0                   FD4A504 : 0                   
0B18 - 4 Bytes           E56CF78 : 257                 FDD4C28 : 545259520           FD4A508 : 266372592           
0B1C - 4 Bytes           E56CF7C : 0                   FDD4C2C : 805306368           FD4A50C : 0                   
0B20 - 4 Bytes (Hex)     E56CF80 : 5E1391B0            FDD4C30 : 135CDF08            FD4A510 : 00000001            
0B24 - 4 Bytes           E56CF84 : 0                   FDD4C34 : 0                   FD4A514 : 0                   
0B28 - 4 Bytes           E56CF88 : 0                   FDD4C38 : 1                   FD4A518 : 7667815             
0B2C - 4 Bytes           E56CF8C : 0                   FDD4C3C : 0                   FD4A51C : 6226030             
0B30 - Pointer           E56CF90 : P->00000000         FDD4C40 : P->00000000         FD4A520 : P->FFFFFFFF00000004 
0B38 - Pointer           E56CF98 : P->00000000         FDD4C48 : P->00000000         FD4A528 : P->3000000020800000 
0B40 - Pointer           E56CFA0 : P->00000000         FDD4C50 : P->00000000         FD4A530 : P->145BF1098        
0B48 - Pointer           E56CFA8 : P->00000000         FDD4C58 : P->00000000         FD4A538 : P->FFFFFFF2         
0B50 - Pointer           E56CFB0 : P->00000000         FDD4C60 : P->00000000         FD4A540 : P->00000000         
0B58 - 4 Bytes           E56CFB8 : 0                   FDD4C68 : 0                   FD4A548 : 0                   
0B5C - 4 Bytes           E56CFBC : 0                   FDD4C6C : 0                   FD4A54C : 0                   
0B60 - Pointer           E56CFC0 : P->00000000         FDD4C70 : P->00000001         FD4A550 : P->00000001         
0B68 - Pointer           E56CFC8 : P->00000000         FDD4C78 : P->00000000         FD4A558 : P->00000000         
0B70 - 4 Bytes           E56CFD0 : 0                   FDD4C80 : 0                   FD4A560 : 4                   
0B74 - 4 Bytes           E56CFD4 : 0                   FDD4C84 : 0                   FD4A564 : 4294967295          
0B78 - 4 Bytes           E56CFD8 : 0                   FDD4C88 : 65536               FD4A568 : 545259520           
0B7C - 4 Bytes           E56CFDC : 0                   FDD4C8C : 0                   FD4A56C : 805306368           
0B80 - 4 Bytes           E56CFE0 : 0                   FDD4C90 : 0                   FD4A570 : 1170149528          
0B84 - 4 Bytes           E56CFE4 : 0                   FDD4C94 : 65793               FD4A574 : 1                   
0B88 - 4 Bytes           E56CFE8 : 0                   FDD4C98 : 0                   FD4A578 : 4294967277          
0B8C - 4 Bytes           E56CFEC : 0                   FDD4C9C : 0                   FD4A57C : 0                   
0B90 - Pointer           E56CFF0 : P->00000000         FDD4CA0 : P->FFFFFFFF00000004 FD4A580 : P->00000000         
0B98 - Pointer           E56CFF8 : P->00000000         FDD4CA8 : P->3000000020800000 FD4A588 : P->00000000         
0BA0 - Pointer           E56D000 : P->00000000         FDD4CB0 : P->145BF1098        FD4A590 : P->00000001         
0BA8 - Pointer           E56D008 : P->00000000         FDD4CB8 : P->FFFFFFE0         FD4A598 : P->00000000         
0BB0 - Pointer           E56D010 : P->00000000         FDD4CC0 : P->00000000         FD4A5A0 : P->00000004         
0BB8 - 4 Bytes           E56D018 : 0                   FDD4CC8 : 0                   FD4A5A8 : 545259520           
0BBC - 4 Bytes           E56D01C : 0                   FDD4CCC : 0                   FD4A5AC : 805306368           
0BC0 - Pointer           E56D020 : P->00000000         FDD4CD0 : P->00000001         FD4A5B0 : P->13C1F310         
0BC8 - Pointer           E56D028 : P->00000000         FDD4CD8 : P->00000000         FD4A5B8 : P->00000001         
0BD0 - Float             E56D030 : 0                   FDD4CE0 : 2.662467082E-44     FD4A5C0 : 2.019101372E18      
0BD4 - 4 Bytes           E56D034 : 0                   FDD4CE4 : 0                   FD4A5C4 : 0                   
0BD8 - Pointer           E56D038 : P->00000000         FDD4CE8 : P->3000000000800000 FD4A5C8 : P->0FE086E0         
0BE0 - Pointer           E56D040 : P->00000000         FDD4CF0 : P->1332C3A8         FD4A5D0 : P->00000001         
0BE8 - Pointer           E56D048 : P->00000000         FDD4CF8 : P->00000013         FD4A5D8 : P->3F800000         
0BF0 - Pointer           E56D050 : P->00000000         FDD4D00 : P->0FDC5150         FD4A5E0 : P->00000004         
0BF8 - 4 Bytes           E56D058 : 0                   FDD4D08 : 266161696           FD4A5E8 : 545259520           
0BFC - 4 Bytes           E56D05C : 0                   FDD4D0C : 0                   FD4A5EC : 805306368           
0C00 - 4 Bytes           E56D060 : 0                   FDD4D10 : 266159696           FD4A5F0 : 331477776           
0C04 - 4 Bytes           E56D064 : 0                   FDD4D14 : 0                   FD4A5F4 : 0                   
0C08 - 4 Bytes (Hex)     E56D068 : 00000000            FDD4D18 : 0FDD4E20            FD4A5F8 : 00000001            
0C0C - 4 Bytes (Hex)     E56D06C : 00000000            FDD4D1C : 00000000            FD4A5FC : 00000000            
0C10 - Pointer           E56D070 : P->00000000         FDD4D20 : P->CFF00E7010100    FD4A600 : P->5DE02B60         
0C18 - 4 Bytes           E56D078 : 0                   FDD4D28 : 5000                FD4A608 : 266373072           
0C1C - 4 Bytes           E56D07C : 0                   FDD4D2C : 3                   FD4A60C : 0                   
0C20 - Pointer           E56D080 : P->00000000         FDD4D30 : P->00000000         FD4A610 : P->00000001         
0C28 - Pointer           E56D088 : P->00000000         FDD4D38 : P->00000000         FD4A618 : P->00000000         
0C30 - Pointer           E56D090 : P->81F16F3981F16F39 FDD4D40 : P->200010001        FD4A620 : P->FFFFFFFF00000004 
0C38 - Pointer           E56D098 : P->00000001         FDD4D48 : P->00000000         FD4A628 : P->3000000020800000 
0C40 - 4 Bytes (Hex)     E56D0A0 : 00000004            FDD4D50 : 0FDD40D0            FD4A630 : 45BF1098            
0C44 - 4 Bytes (Hex)     E56D0A4 : FFFFFFFF            FDD4D54 : 00000000            FD4A634 : 00000001            
0C48 - 4 Bytes           E56D0A8 : 8388608             FDD4D58 : 266158320           FD4A638 : 4294967289          
0C4C - 4 Bytes           E56D0AC : 805306368           FDD4D5C : 0                   FD4A63C : 0                   
0C50 - 4 Bytes           E56D0B0 : 1170149528          FDD4D60 : 266158352           FD4A640 : 0                   
0C54 - 4 Bytes           E56D0B4 : 1                   FDD4D64 : 0                   FD4A644 : 0                   
0C58 - 4 Bytes           E56D0B8 : 0                   FDD4D68 : 282776240           FD4A648 : 0                   
0C5C - 4 Bytes           E56D0BC : 0                   FDD4D6C : 0                   FD4A64C : 0                   
0C60 - Pointer           E56D0C0 : P->00000000         FDD4D70 : P->0FDCE6E0         FD4A650 : P->00000001         
0C68 - Pointer           E56D0C8 : P->00000000         FDD4D78 : P->00000000         FD4A658 : P->3000000000800000 
0C70 - Pointer           E56D0D0 : P->FFFFFFFF         FDD4D80 : P->0FDD01D0         FD4A660 : P->FFFFFFFF00000004 
0C78 - Pointer           E56D0D8 : P->0E56D580         FDD4D88 : P->0FDD3110         FD4A668 : P->3000000020800000 
0C80 - Pointer           E56D0E0 : P->FFFFFFFF00000008 FDD4D90 : P->00000001         FD4A670 : P->145BF1098        
0C88 - Pointer           E56D0E8 : P->3000000000800000 FDD4D98 : P->0000000E         FD4A678 : P->FFFFFFF6         
0C90 - Pointer           E56D0F0 : P->145BF1098        FDD4DA0 : P->200000002        FD4A680 : P->00000000         
0C98 - Pointer           E56D0F8 : P->00000000         FDD4DA8 : P->00000000         FD4A688 : P->00000000         
0CA0 - Pointer           E56D100 : P->00000000         FDD4DB0 : P->0FDD41D0         FD4A690 : P->00000001         
0CA8 - 4 Bytes           E56D108 : 0                   FDD4DB8 : 266158640           FD4A698 : 0                   
0CAC - 4 Bytes           E56D10C : 0                   FDD4DBC : 0                   FD4A69C : 0                   
0CB0 - Pointer           E56D110 : P->100000001        FDD4DC0 : P->0FDD4260         FD4A6A0 : P->0000002C         
0CB8 - Pointer           E56D118 : P->00000000         FDD4DC8 : P->0FDD42C0         FD4A6A8 : P->3000000000800000 
0CC0 - Pointer           E56D120 : P->00000000         FDD4DD0 : P->0FDD42D0         FD4A6B0 : P->137AFF20         
0CC8 - Pointer           E56D128 : P->00000000         FDD4DD8 : P->000001F4         FD4A6B8 : P->00000032         
0CD0 - Pointer           E56D130 : P->BF800000BF800000 FDD4DE0 : P->0FDCACF0         FD4A6C0 : P->0FD3A800         
0CD8 - 4 Bytes           E56D138 : 3212836864          FDD4DE8 : 266159696           FD4A6C8 : 265595472           
0CDC - 4 Bytes           E56D13C : 0                   FDD4DEC : 0                   FD4A6CC : 0                   
0CE0 - 4 Bytes           E56D140 : 1065353216          FDD4DF0 : 1181376512          FD4A6D0 : 265587920           
0CE4 - 4 Bytes           E56D144 : 1065353216          FDD4DF4 : 0                   FD4A6D4 : 0                   
0CE8 - 4 Bytes (Hex)     E56D148 : 3F800000            FDD4DF8 : 0FDD4130            FD4A6D8 : 0FD4AA50            
0CEC - 4 Bytes (Hex)     E56D14C : 00000000            FDD4DFC : 00000000            FD4A6DC : 00000000            
0CF0 - Pointer           E56D150 : P->00000000         FDD4E00 : P->0FDCE6E0         FD4A6E0 : P->308FF00E6010100  
0CF8 - 4 Bytes           E56D158 : 0                   FDD4E08 : 266159696           FD4A6E8 : 0                   
0CFC - 4 Bytes           E56D15C : 1065353216          FDD4E0C : 0                   FD4A6EC : 5                   
0D00 - Pointer           E56D160 : P->FFFFFFFF00000008 FDD4E10 : P->0000000D         FD4A6F0 : P->00000000         
0D08 - Pointer           E56D168 : P->3000000000800000 FDD4E18 : P->3000000000800000 FD4A6F8 : P->00000000         
0D10 - 4 Bytes (Hex)     E56D170 : 45BF1098            FDD4E20 : 136F1278            FD4A700 : 01010001            
0D14 - 4 Bytes           E56D174 : 1                   FDD4E24 : 0                   FD4A704 : 0                   
0D18 - 4 Bytes (Hex)     E56D178 : 00000000            FDD4E28 : 00000003            FD4A708 : 00000000            
0D1C - String            E56D17C :                     FDD4E2C :                     FD4A70C :                     
0D20 - 4 Bytes (Hex)     E56D180 : 00000000            FDD4E30 : 0FDC5150            FD4A710 : 282E5380            
0D24 - 4 Bytes (Hex)     E56D184 : 00000000            FDD4E34 : 00000000            FD4A714 : 00000000            
0D28 - 4 Bytes (Hex)     E56D188 : 00000000            FDD4E38 : 0FDD4EF0            FD4A718 : 282E53C0            
0D2C - 4 Bytes (Hex)     E56D18C : 00000000            FDD4E3C : 00000000            FD4A71C : 00000000            
0D30 - Pointer           E56D190 : P->100000001        FDD4E40 : P->0FDD4CF0         FD4A720 : P->282E5400         
0D38 - 4 Bytes           E56D198 : 0                   FDD4E48 : 266161904           FD4A728 : 674124864           
0D3C - 4 Bytes (Hex)     E56D19C : 00000000            FDD4E4C : 00000000            FD4A72C : 00000000            
0D40 - String            E56D1A0 :                     FDD4E50 :                     FD4A730 : €T.(                
0D44 - 4 Bytes           E56D1A4 : 0                   FDD4E54 : 655104              FD4A734 : 0                   
0D48 - 4 Bytes           E56D1A8 : 0                   FDD4E58 : 3                   FD4A738 : 265556000           
0D4C - 4 Bytes           E56D1AC : 0                   FDD4E5C : 0                   FD4A73C : 0                   
0D50 - 4 Bytes           E56D1B0 : 3212836864          FDD4E60 : 0                   FD4A740 : 265591008           
0D54 - 4 Bytes           E56D1B4 : 3212836864          FDD4E64 : 0                   FD4A744 : 0                   
0D58 - 4 Bytes           E56D1B8 : 3212836864          FDD4E68 : 0                   FD4A748 : 0                   
0D5C - 4 Bytes           E56D1BC : 0                   FDD4E6C : 0                   FD4A74C : 0                   
0D60 - 4 Bytes           E56D1C0 : 1065353216          FDD4E70 : 65537               FD4A750 : 265591200           
0D64 - 4 Bytes           E56D1C4 : 1065353216          FDD4E74 : 0                   FD4A754 : 0                   
0D68 - 4 Bytes           E56D1C8 : 1065353216          FDD4E78 : 266154256           FD4A758 : 0                   
0D6C - 4 Bytes           E56D1CC : 0                   FDD4E7C : 0                   FD4A75C : 0                   
0D70 - Pointer           E56D1D0 : P->00000000         FDD4E80 : P->0FDCE6E0         FD4A760 : P->00000000         
0D78 - 4 Bytes           E56D1D8 : 0                   FDD4E88 : 266158976           FD4A768 : 0                   
0D7C - 4 Bytes (Hex)     E56D1DC : 3F800000            FDD4E8C : 00000000            FD4A76C : 00000000            
0D80 - Pointer           E56D1E0 : P->0000000A         FDD4E90 : P->0FDD43E0         FD4A770 : P->0FD41840         
0D88 - 4 Bytes           E56D1E8 : 545259520           FDD4E98 : 266159168           FD4A778 : 249782880           
0D8C - 4 Bytes           E56D1EC : 805306368           FDD4E9C : 0                   FD4A77C : 0                   
0D90 - Pointer           E56D1F0 : P->138AC558         FDD4EA0 : P->0FDD44A0         FD4A780 : P->0FD43E10         
0D98 - 4 Bytes           E56D1F8 : 3                   FDD4EA8 : 266154256           FD4A788 : 265556832           
0D9C - 4 Bytes (Hex)     E56D1FC : 00000000            FDD4EAC : 00000000            FD4A78C : 00000000            
0DA0 - Pointer           E56D200 : P->0DAC6B40         FDD4EB0 : P->0FDD60D0         FD4A790 : P->0FD45C80         
0DA8 - 4 Bytes           E56D208 : 240571024           FDD4EB8 : 257                 FD4A798 : 265604032           
0DAC - 4 Bytes           E56D20C : 0                   FDD4EBC : 0                   FD4A79C : 0                   
0DB0 - Pointer           E56D210 : P->0DAC2200         FDD4EC0 : P->0FDD4330         FD4A7A0 : P->0FD47750         
0DB8 - Pointer           E56D218 : P->0E8E9EE0         FDD4EC8 : P->10DACCD0         FD4A7A8 : P->0FD48B20         
0DC0 - 4 Bytes           E56D220 : 16843009            FDD4ED0 : 266159696           FD4A7B0 : 265595408           
0DC4 - 4 Bytes           E56D224 : 0                   FDD4ED4 : 0                   FD4A7B4 : 0                   
0DC8 - 4 Bytes           E56D228 : 1824                FDD4ED8 : 266166480           FD4A7B8 : 265590784           
0DCC - 4 Bytes           E56D22C : 0                   FDD4EDC : 0                   FD4A7BC : 0                   
0DD0 - Pointer           E56D230 : P->00000000         FDD4EE0 : P->0000000F         FD4A7C0 : P->0FD49860         
0DD8 - 4 Bytes           E56D238 : 0                   FDD4EE8 : 8388608             FD4A7C8 : 0                   
0DDC - 4 Bytes (Hex)     E56D23C : 00000000            FDD4EEC : 30000000            FD4A7CC : 00000000            
0DE0 - Pointer           E56D240 : P->10564910         FDD4EF0 : P->136956C0         FD4A7D0 : P->00000000         
0DE8 - 4 Bytes           E56D248 : 3                   FDD4EF8 : 8                   FD4A7D8 : 265590080           
0DEC - 4 Bytes           E56D24C : 3                   FDD4EFC : 0                   FD4A7DC : 0                   
0DF0 - Pointer           E56D250 : P->0325AFC0         FDD4F00 : P->0FDC5150         FD4A7E0 : P->0FD3EB90         
0DF8 - 4 Bytes           E56D258 : 158                 FDD4F08 : 266166480           FD4A7E8 : 0                   
0DFC - 4 Bytes (Hex)     E56D25C : 0000009E            FDD4F0C : 00000000            FD4A7EC : 00000000            
0E00 - Byte              E56D260 : 176                 FDD4F10 : 32                  FD4A7F0 : 0                   
0E01 - Byte              E56D261 : 66                  FDD4F11 : 78                  FD4A7F1 : 0                   
0E02 - Byte              E56D262 : 142                 FDD4F12 : 221                 FD4A7F2 : 0                   
0E03 - Byte              E56D263 : 14                  FDD4F13 : 15                  FD4A7F3 : 0                   
0E04 - 4 Bytes           E56D264 : 0                   FDD4F14 : 0                   FD4A7F4 : 0                   
0E08 - 4 Bytes           E56D268 : 1                   FDD4F18 : 266166480           FD4A7F8 : 0                   
0E0C - 4 Bytes           E56D26C : 1                   FDD4F1C : 0                   FD4A7FC : 0                   
0E10 - 4 Bytes           E56D270 : 0                   FDD4F20 : 3875602688          FD4A800 : 0                   
0E14 - 4 Bytes           E56D274 : 0                   FDD4F24 : 59637504            FD4A804 : 0                   
0E18 - 4 Bytes           E56D278 : 0                   FDD4F28 : 6                   FD4A808 : 0                   
0E1C - 4 Bytes           E56D27C : 0                   FDD4F2C : 7                   FD4A80C : 0                   
0E20 - 4 Bytes           E56D280 : 12                  FDD4F30 : 0                   FD4A810 : 265590176           
0E24 - 4 Bytes           E56D284 : 0                   FDD4F34 : 0                   FD4A814 : 0                   
0E28 - 4 Bytes           E56D288 : 8388608             FDD4F38 : 0                   FD4A818 : 0                   
0E2C - 4 Bytes           E56D28C : 805306368           FDD4F3C : 0                   FD4A81C : 0                   
0E30 - Pointer           E56D290 : P->13A8D078         FDD4F40 : P->200010001        FD4A820 : P->00000000         
0E38 - 4 Bytes           E56D298 : 23                  FDD4F48 : 266161392           FD4A828 : 0                   
0E3C - 4 Bytes (Hex)     E56D29C : 00000000            FDD4F4C : 00000000            FD4A82C : 00000000            
0E40 - Pointer           E56D2A0 : P->0DAC6B40         FDD4F50 : P->00000000         FD4A830 : P->00000000         
0E48 - 4 Bytes           E56D2A8 : 240571216           FDD4F58 : 266121872           FD4A838 : 265595344           
0E4C - 4 Bytes (Hex)     E56D2AC : 00000000            FDD4F5C : 00000000            FD4A83C : 00000000            
0E50 - Byte              E56D2B0 : 128                 FDD4F60 : 224                 FD4A840 : 0                   
0E51 - Byte              E56D2B1 : 182                 FDD4F61 : 101                 FD4A841 : 0                   
0E52 - Byte              E56D2B2 : 86                  FDD4F62 : 221                 FD4A842 : 0                   
0E53 - Byte              E56D2B3 : 14                  FDD4F63 : 15                  FD4A843 : 0                   
0E54 - 4 Bytes           E56D2B4 : 0                   FDD4F64 : 0                   FD4A844 : 0                   
0E58 - 4 Bytes           E56D2B8 : 240571216           FDD4F68 : 266483184           FD4A848 : 0                   
0E5C - 4 Bytes           E56D2BC : 0                   FDD4F6C : 0                   FD4A84C : 0                   
0E60 - Pointer           E56D2C0 : P->274FF00E5010100  FDD4F70 : P->00000000         FD4A850 : P->0FD495C0         
0E68 - Pointer           E56D2C8 : P->0000000A         FDD4F78 : P->0FDCACF0         FD4A858 : P->3E99999A00000000 
0E70 - Pointer           E56D2D0 : P->00000000         FDD4F80 : P->0FDD6FB0         FD4A860 : P->40E0000000000000 
0E78 - Pointer           E56D2D8 : P->00000000         FDD4F88 : P->0FDCFBD0         FD4A868 : P->40E00000         
0E80 - Pointer           E56D2E0 : P->00010001         FDD4F90 : P->0FDD3110         FD4A870 : P->00000000         
0E88 - Pointer           E56D2E8 : P->0E56C1A0         FDD4F98 : P->0FDD3110         FD4A878 : P->00000000         
0E90 - Pointer           E56D2F0 : P->0D47AC70         FDD4FA0 : P->0FDCE2E0         FD4A880 : P->00000000         
0E98 - 4 Bytes           E56D2F8 : 272492464           FDD4FA8 : 266115712           FD4A888 : 0                   
0E9C - 4 Bytes (Hex)     E56D2FC : 00000000            FDD4FAC : 00000000            FD4A88C : 00000000            
0EA0 - 4 Bytes           E56D300 : 240566752           FDD4FB0 : 266159696           FD4A890 : 0                   
0EA4 - Unicode String    E56D304 :                     FDD4FB4 :                     FD4A894 :                     
0EAC - 4 Bytes (Hex)     E56D30C : 00000000            FDD4FBC : 00000000            FD4A89C : 00000000            
0EB0 - 4 Bytes           E56D310 : 240566848           FDD4FC0 : 266159456           FD4A8A0 : 265590368           
0EB4 - 4 Bytes           E56D314 : 0                   FDD4FC4 : 0                   FD4A8A4 : 0                   
0EB8 - 4 Bytes           E56D318 : 272492400           FDD4FC8 : 257                 FD4A8A8 : 265590432           
0EBC - 4 Bytes           E56D31C : 0                   FDD4FCC : 0                   FD4A8AC : 0                   
0EC0 - Pointer           E56D320 : P->00000000         FDD4FD0 : P->000000FF         FD4A8B0 : P->0FD496E0         
0EC8 - 4 Bytes           E56D328 : 240545328           FDD4FD8 : 8388608             FD4A8B8 : 0                   
0ECC - 4 Bytes (Hex)     E56D32C : 00000000            FDD4FDC : 30000000            FD4A8BC : 00000000            
0ED0 - 4 Bytes           E56D330 : 240545744           FDD4FE0 : 322505696           FD4A8C0 : 0                   
0ED4 - Unicode String    E56D334 :                     FDD4FE4 :                     FD4A8C4 :                     
0EDB - Byte              E56D33B : 196                 FDD4FEB : 0                   FD4A8CB : 0                   
0EDC - 4 Bytes (Hex)     E56D33C : 43480000            FDD4FEC : 00000000            FD4A8CC : 00000000            
0EE0 - 4 Bytes           E56D340 : 10                  FDD4FF0 : 262148000           FD4A8D0 : 0                   
0EE4 - 4 Bytes           E56D344 : 0                   FDD4FF4 : 0                   FD4A8D4 : 0                   
0EE8 - 4 Bytes           E56D348 : 8388608             FDD4FF8 : 266155488           FD4A8D8 : 0                   
0EEC - 4 Bytes           E56D34C : 805306368           FDD4FFC : 0                   FD4A8DC : 0                   
0EF0 - Pointer           E56D350 : P->134DA2A0         FDD5000 : P->111115044A010    FD4A8E0 : P->3F800000         
